title;budget;runtime;release_year;is_us_production;genre_Action;genre_Adventure;genre_Animation;genre_Comedy;genre_Crime;genre_Documentary;genre_Drama;genre_Family;genre_Fantasy;genre_Foreign;genre_History;genre_Horror;genre_Music;genre_Mystery;genre_Romance;genre_Science_Fiction;genre_TV_Movie;genre_Thriller;genre_War;genre_Western;popularity
Toy Story 3;200000000;103.0;2010.0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;59.995418
Terminator Salvation;200000000;115.0;2009.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;71.862892
Furious 7;190000000;137.0;2015.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102.322217
World War Z;200000000;116.0;2013.0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;81.834855
X-Men: Days of Future Past;250000000;131.0;2014.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;118.078691
Star Trek Into Darkness;190000000;132.0;2013.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;78.291018
Jack the Giant Slayer;195000000;114.0;2013.0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;43.349855
The Great Gatsby;105000000;143.0;2013.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;61.196071
Prince of Persia: The Sands of Time;150000000;116.0;2010.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;62.169881
Pacific Rim;180000000;131.0;2013.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;56.523205
Transformers: Dark of the Moon;195000000;154.0;2011.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;28.529607
Indiana Jones and the Kingdom of the Crystal Skull;185000000;122.0;2008.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75.674458
The Good Dinosaur;175000000;93.0;2015.0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;51.692953
Brave;185000000;93.0;2012.0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;125.114374
Star Trek Beyond;185000000;122.0;2016.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;65.352913
WALL·E;180000000;98.0;2008.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;66.390712
Rush Hour 3;140000000;91.0;2007.0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;22.57178
2012;200000000;158.0;2009.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;45.274225
A Christmas Carol;200000000;96.0;2009.0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;39.744242
Jupiter Ascending;176000003;124.0;2015.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;85.36908
The Legend of Tarzan;180000000;109.0;2016.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.741719
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;180000000;143.0;2005.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;67.391328
X-Men: Apocalypse;178000000;144.0;2016.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;139.272042
The Dark Knight;185000000;152.0;2008.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;187.322927
Up;175000000;96.0;2009.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;92.201962
Monsters vs Aliens;175000000;94.0;2009.0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;36.167578
Iron Man;140000000;126.0;2008.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;120.725053
Hugo;170000000;126.0;2011.0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;32.319043
Wild Wild West;170000000;106.0;1999.0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;40.748915
The Mummy: Tomb of the Dragon Emperor;145000000;112.0;2008.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;60.034162
Suicide Squad;175000000;123.0;2016.0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;90.23792
Evan Almighty;175000000;96.0;2007.0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;27.082182
Edge of Tomorrow;178000000;113.0;2014.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;79.456485
Waterworld;175000000;135.0;1995.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.640292
G.I. Joe: The Rise of Cobra;175000000;118.0;2009.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;32.852443
Inside Out;175000000;94.0;2015.0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;128.655964
The Jungle Book;175000000;106.0;2016.0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;94.199316
Iron Man 2;200000000;124.0;2010.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;77.300194
Snow White and the Huntsman;170000000;127.0;2012.0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;77.178973
Maleficent;180000000;97.0;2014.0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;110.620647
Dawn of the Planet of the Apes;170000000;130.0;2014.0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;243.791743
The Lovers;27000000;109.0;2015.0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2.418535
47 Ronin;175000000;119.0;2013.0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;41.796339
Captain America: The Winter Soldier;170000000;136.0;2014.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;72.225265
Shrek Forever After;165000000;93.0;2010.0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;44.041186
Tomorrowland;190000000;130.0;2015.0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;130.311355
Big Hero 6;165000000;102.0;2014.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;203.73459
Wreck-It Ralph;165000000;108.0;2012.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;62.341073
The Polar Express;165000000;100.0;2004.0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;47.323228
Independence Day: Resurgence;165000000;120.0;2016.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;48.775723
How to Train Your Dragon;165000000;98.0;2010.0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;67.263269
Terminator 3: Rise of the Machines;200000000;109.0;2003.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;69.405188
Guardians of the Galaxy;170000000;121.0;2014.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;481.098624
Interstellar;165000000;169.0;2014.0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;724.247784
Inception;160000000;148.0;2010.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;167.58371
Shin Godzilla;15000000;120.0;2016.0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;9.476999
The Hobbit: An Unexpected Journey;250000000;169.0;2012.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;108.849621
The Fast and the Furious;38000000;106.0;2001.0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6.909942
The Curious Case of Benjamin Button;150000000;166.0;2008.0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;60.269279
X-Men: First Class;160000000;132.0;2011.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.195174
The Hunger Games: Mockingjay - Part 2;160000000;137.0;2015.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;127.284427
The Sorcerer's Apprentice;150000000;109.0;2010.0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;35.580815
Poseidon;160000000;99.0;2006.0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;21.133748
Alice Through the Looking Glass;170000000;113.0;2016.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;56.268916
Shrek the Third;160000000;93.0;2007.0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;42.986467
Warcraft;160000000;123.0;2016.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;63.148529
Terminator Genisys;155000000;126.0;2015.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;202.042635
The Chronicles of Narnia: The Voyage of the Dawn Treader;155000000;113.0;2010.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;49.661984
Pearl Harbor;140000000;183.0;2001.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;34.20669
Transformers;150000000;144.0;2007.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;25.468493
Alexander;155000000;175.0;2004.0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;39.019229
Harry Potter and the Order of the Phoenix;150000000;138.0;2007.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;78.144395
Harry Potter and the Goblet of Fire;150000000;157.0;2005.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;101.250416
Hancock;150000000;92.0;2008.0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;56.758411
I Am Legend;150000000;101.0;2007.0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;70.867401
Charlie and the Chocolate Factory;150000000;115.0;2005.0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;53.905592
Ratatouille;150000000;111.0;2007.0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;65.677399
Batman Begins;150000000;140.0;2005.0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;115.040024
Madagascar: Escape 2 Africa;150000000;89.0;2008.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;44.141021
Night at the Museum: Battle of the Smithsonian;150000000;105.0;2009.0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;81.781591
X-Men Origins: Wolverine;150000000;107.0;2009.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;5.954334
The Matrix Revolutions;150000000;129.0;2003.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;73.313918
Frozen;150000000;102.0;2013.0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;165.125366
The Matrix Reloaded;150000000;138.0;2003.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;70.78591
Thor: The Dark World;170000000;112.0;2013.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;99.499595
Mad Max: Fury Road;150000000;120.0;2015.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;434.278564
Angels & Demons;150000000;138.0;2009.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;67.447636
Thor;150000000;115.0;2011.0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;86.493424
Bolt;150000000;98.0;2008.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;41.845878
G-Force;150000000;88.0;2009.0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;26.710398
Wrath of the Titans;150000000;99.0;2012.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.927635
Dark Shadows;150000000;113.0;2012.0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;50.306728
Mission: Impossible - Rogue Nation;150000000;131.0;2015.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;114.522237
The Wolfman;150000000;102.0;2010.0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;21.214571
Bee Movie;150000000;91.0;2007.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;29.332905
Kung Fu Panda 2;150000000;91.0;2011.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;51.247321
The Last Airbender;150000000;103.0;2010.0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;33.769336
Mission: Impossible III;150000000;126.0;2006.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;63.079003
White House Down;150000000;131.0;2013.0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;39.004588
Mars Needs Moms;150000000;88.0;2011.0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12.362599
Flushed Away;149000000;85.0;2006.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;22.550135
Pan;150000000;111.0;2015.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;48.03528
Mr. Peabody & Sherman;145000000;92.0;2014.0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;38.73494
Troy;175000000;163.0;2004.0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;66.803149
Madagascar 3: Europe's Most Wanted;145000000;93.0;2012.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;44.989192
Die Another Day;140000000;133.0;2002.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;54.159392
Ghostbusters;144000000;116.0;2016.0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;66.21806
Armageddon;140000000;151.0;1998.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;58.485967
Men in Black II;140000000;88.0;2002.0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;91.332849
Beowulf;70000000;115.0;2007.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.601665
Kung Fu Panda 3;145000000;95.0;2016.0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;56.747978
Mission: Impossible - Ghost Protocol;145000000;133.0;2011.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;77.77477
Rise of the Guardians;145000000;97.0;2012.0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;61.788035
Fun with Dick and Jane;100000000;90.0;2005.0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.159168
The Last Samurai;140000000;154.0;2003.0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;52.341226
Exodus: Gods and Kings;140000000;150.0;2014.0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;101.599427
Star Trek;150000000;127.0;2009.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;73.616808
Spider-Man;139000000;121.0;2002.0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;82.502566
How to Train Your Dragon 2;145000000;102.0;2014.0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;100.21391
Gods of Egypt;140000000;127.0;2016.0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;56.257249
Stealth;135000000;121.0;2005.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.88953
Watchmen;130000000;163.0;2009.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;64.798873
Lethal Weapon 4;140000000;127.0;1998.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;24.855701
Hulk;137000000;138.0;2003.0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;34.981698
G.I. Joe: Retaliation;130000000;110.0;2013.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;59.325589
Sahara;130000000;124.0;2005.0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;21.605568
Final Fantasy: The Spirits Within;137000000;106.0;2001.0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;26.074908
Captain America: The First Avenger;140000000;124.0;2011.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;74.506246
The World Is Not Enough;135000000;128.0;1999.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;39.604363
Master and Commander: The Far Side of the World;150000000;138.0;2003.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.973031
The Twilight Saga: Breaking Dawn - Part 2;120000000;115.0;2012.0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;99.687084
Happy Feet Two;130000000;100.0;2011.0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;17.7735
The Incredible Hulk;150000000;114.0;2008.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;62.898336
The BFG;140000000;120.0;2016.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;44.19092
The Revenant;135000000;156.0;2015.0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;100.635882
Turbo;135000000;96.0;2013.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;44.765377
Rango;135000000;107.0;2011.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;29.91353
Penguins of Madagascar;132000000;92.0;2014.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;84.366984
The Bourne Ultimatum;70000000;115.0;2007.0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;45.381501
Kung Fu Panda;130000000;90.0;2008.0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;84.689648
Ant-Man;130000000;117.0;2015.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;120.09361
The Hunger Games: Catching Fire;130000000;146.0;2013.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;76.310119
Home;135000000;94.0;2015.0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;63.473086
War of the Worlds;132000000;116.0;2005.0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;48.572726
Bad Boys II;130000000;147.0;2003.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;38.068736
Puss in Boots;130000000;90.0;2011.0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;20.678787
Salt;110000000;100.0;2010.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;48.829437
Noah;125000000;139.0;2014.0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;46.115758
The Adventures of Tintin;130000000;107.0;2011.0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;89.938296
Harry Potter and the Prisoner of Azkaban;130000000;141.0;2004.0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;79.679601
Australia;130000000;165.0;2008.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28.840997
After Earth;130000000;100.0;2013.0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;42.840582
Dinosaur;127500000;82.0;2000.0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;26.548594
